,Frame,Driver,Speed,Sector,Lap,Lap Time,T_Delta
0,347,VERSTAPPEN,272,,L1 (Crash),00:55.0,0.02969296
0,348,VERSTAPPEN,272,,L1 (Crash),00:55.0,0.02969296
0,349,VERSTAPPEN,272,,L1 (Crash),00:55.0,0.02969296
0,350,VERSTAPPEN,272,,L1 (Crash),00:55.0,0.02969296
0,351,VERSTAPPEN,272,,L1 (Crash),00:55.0,0.02969296
0,352,VERSTAPPEN,272,,L1 (Crash),00:55.0,0.02969296
0,353,VERSTAPPEN,272,,L1 (Crash),00:55.0,0.02969296
0,354,VERSTAPPEN,272,,L1 (Crash),00:55.0,0.02969296
0,355,VERSTAPPEN,273,,L1 (Crash),00:55.0,0.02969296
0,356,VERSTAPPEN,274,,L1 (Crash),00:55.0,0.02969296
0,357,VERSTAPPEN,274,,L1 (Crash),00:55.0,0.02969296
0,358,VERSTAPPEN,274,,L1 (Crash),00:55.0,0.02969296
0,359,VERSTAPPEN,274,,L1 (Crash),00:55.0,0.02969296
0,360,VERSTAPPEN,275,,L1 (Crash),00:55.0,0.02969296
0,361,VERSTAPPEN,275,,L1 (Crash),00:55.0,0.02969296
0,362,VERSTAPPEN,275,,L1 (Crash),00:55.0,0.02969296
0,363,VERSTAPPEN,275,,L1 (Crash),00:55.0,0.02969296
0,364,VERSTAPPEN,275,,L1 (Crash),00:55.0,0.02969296
0,365,VERSTAPPEN,275,,L1 (Crash),00:55.0,0.02969296
0,366,VERSTAPPEN,275,,L1 (Crash),00:55.0,0.02969296
0,367,VERSTAPPEN,275,,L1 (Crash),00:55.0,0.02969296
0,368,VERSTAPPEN,275,,L1 (Crash),00:55.0,0.02969296
0,369,VERSTAPPEN,275,,L1 (Crash),00:55.0,0.02969296
0,370,VERSTAPPEN,275,,L1 (Crash),00:55.0,0.02969296
0,371,VERSTAPPEN,275,,L1 (Crash),00:55.0,0.02969296
0,372,VERSTAPPEN,275,,L1 (Crash),00:55.0,0.02969296
